セッションタイトル,セッション概要,トラック,セッションレベル,対象オーディエンス,スピーカー名,スピーカーAlias,ヨミガナ,会社名,部署名,役職,セッションで使用する言語,他のスピーカ,Internal or External,受講対象文言,関連MVA(1)タイトル,関連MVA(1)URL,関連MVA(2)タイトル,関連MVA(2)URL,関連MVA(3)タイトル,関連MVA(3)URL,関連製品テクノロジーキーワード,セッションID,Discloser Plan,Item Type,Path
拝啓 『変わらない開発現場』を嘆く皆様へ　～エンプラ系 SI 開発現場の「今」を変えていくために～,de:code で取り上げられる最先端技術の数々にワクワクしながらも、ふと翌日から戻る開発現場のことを思うと暗くなってしまうという方、実は多いのではないでしょうか？　エンタープライズ系の業務システム開発の世界では、未だ 10 年以上前のやり方から進化しておらず、進化の糸口が見つけられず悩まれている方も多いと思います。本セッションでは、（de:code ですが）敢えて最新開発テクノロジの話は一切しません。エンプラ系 SIer の PL/PM/SE の方々向けに、設計やテスト手法の改善テクニックの要点などを通して、開発現場を改善していくための考え方を解説します。,4.Client,200,開発者;#アーキテクト,赤間　信幸,nakama,アカマ　ノブユキ,日本マイクロソフト株式会社,エンタープライズサービス統括本部,プリンシパルコンサルタント,日本語,,Internal Only,「Excel 方眼紙」「Excel 設計書」に身に覚えのある SIer の SE/PM/PL の皆様、日々の現場の忙しさのあまり心が折れそうになっている方々、セッションタイトルを見て共感を覚えた皆様はぜひご参加ください。,,,,,,,,CLT-016,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
まだまだ進化が止まらない！ 開発者のための Microsoft Azure 最新機能,本セッションでは、Microsoft Azure の新機能やアップデート情報をまとめてご紹介します。Azure で今どんな変化が起きているのか、何ができるようになったのかを大雑把な概要を把握したい方、忙しい毎日の中でキャッチアップしきれない！という方、そして他のどのセッションを聞けばよいのか迷っている方に向けたセッションです。,1.Development,200,開発者;#アーキテクト,稲葉 歩,ainaba,イナバ アユム,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統轄本部,クラウドソリューションアーキテクト,日本語,,Internal Only,,,,,,,,クラウド開発;#Microsoft Azure,DEV-013,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Azure Search Deep Dive ～ 検索エクスペリエンス向上のためのノウハウ徹底解説 ～,今日、検索機能は、Web 検索、 適合性の高い検索結果を提供する e コマース サイトやソーシャル アプリ、入力時の検索候補、ファセット、強調表示、関連キーワードなどのさまざまな機能がユーザーの主要な操作手法として活用されています。Azure Search は これら検索機能を提供するための、クラウドにおけるフルマネージド型全文検索サービスです。本セッションでは Azure Search を使うことで実現可能なさまざまな検索エクスペリエンスをご紹介します。さらにテキスト分析やランキング処理といった検索エンジン特有の仕組みの解説、音声認証やレコメンデーション技術との連携技を交えつつ、Azure Search が持っている能力を最大限に引き出すためのノウハウを徹底解説します。,1.Development,400,開発者,川崎 庸市,yoichika,カワサキヨウイチ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統轄本部,クラウドソリューションアーキテクト,日本語,,Internal Only,アプリケーションの開発にかかわる皆様、検索機能に関心のある皆様、ぜひご参加ください,,,,,,,Web開発;#Microsoft Azure;#クラウド,DEV-018,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Programmable Video ～ Azure Media Services でのビデオサービス開発 ～,コンテンツの種類として文字・写真に加えて、ビデオを活用するサービスが多く出始めました。自身のサービスの中で以下に効率的にビデオが活用できるのか? そのための映像配信、メタデータ作成のためにAzure の各種機能をどう使えばいいのか。このセッションでは、動画のワークフローを司るAzure Media Services と Azure CDN を中心に、開発者のための API による動画の制御について紹介をします。機械学習の成果でもあるAzure Cognitive Services についても触れます。,1.Development,300,開発者,畠山 大有,dahatake,ハタケヤマ　ダイユウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,動画やろうぜ! Azure Media Services で始めるライブ配信,https://channel9.msdn.com/Events/de-code/decode-2015/DEV-014,Azure Media Technical Summit in Tokyo 2015,https://channel9.msdn.com/Shows/Azure-Media-Technical-Summit-in-Tokyo-2015,,,Web開発;#クラウド開発;#Microsoft Azure;#ビッグデータ,DEV-019,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
TypeScript ～ Any browser. Any host. Any OS. Open Source ～,"JavaScript のスーパーセットとして登場した ""規模 Web アプリケーション開発を大きくスケールさせることができる多くの利点を持ち揃えています。そして、2014 年 4 月 2 日の TypeScript 1.0 リリースから 2 年が経った今、”Any browser. Any host. Any OS.” のビジョンのもとで着実に進化をしている TypeScript を、言語仕様やツールサポートといった観点から詳しく解説します。。ces についても触れます。",1.Development,300,開発者,井上 章,akirain,イノウエ アキラ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,,Internal Only,avaScript を使った Web アプリケーション開発に携わる開発者の皆様。特に、大規模開発で JavaScript を利用、もしくは利用検討されている方はぜひご参加ください。,TypeScript - JavaScript that scales.,http://www.typescriptlang.org/,TypeScript Home on GitHub  ,https://github.com/Microsoft/TypeScript,What's New in TypeScript? : Build 2016,https://channel9.msdn.com/Events/Build/2016/B881,Web開発;#OSS;#開発言語;#Visual Stuido;#.NET,DEV-011,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
有能な AI アシスタントを手に入れる！Microsoft Cognitive Services 入門,人間の行動をコンピューターで実現する技術である AI (人工知能)。この技術により、画像や音声の認識、自然言語によるコミュニケーションなど、人間の認知機能がモデル化され、今やそのモデルを簡単に利用できる時代になってきています。Build 2016 でも大きく取り上げられた Microsoft Cognitive Services (旧称: Project Oxford) は、そのような人間の認知機能モデルを API 経由で取り入れることができるサービスです。このセッションでは、Cognitive Services と関連サービスを活用した、人間にとって自然に感じられる “AI アシスタント” のコアとなるサービスの開発について、デモを交えながら解説します。,2.Data Platform,300,開発者,大森 彩子,ayomori,オオモリ アヤコ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,機械学習 API を活用したインテリジェントなアプリケーション開発に興味のある技術者の皆様、ぜひご参加ください。,,,,,,,Web開発;#クラウド開発;#Microsoft Azure;#Visual Stuido;#.NET;#Bing;#クラウド;#ビッグデータ,DBP-018,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
みんなで作る Windows 10！ ～ Windows Insider からのフィードバック・データの活用方法 ～,Windows 10 は皆様からのフィードバックや利用データをもとにして開発が行なわれております。本セッションでは、実際の Windows の開発プロセス、そして皆様からのフィードバックや利用データの活用方法を大胆に公開します。データの収集、分析、可視化、そして製品に反映させるまでを、実際に使用しているツールの紹介も交えてご紹介致します。,4.Client,200,開発者;#ITプロ;#アーキテクト,渡邊 飛雄馬,HyumaW,ワタナベ ヒュウマ,マイクロソフトディベロップメント株式会社,Windows & Devices 開発統括部,プログラムマネージャ,日本語,Yoshitaka Kasugai,Internal Only,Windows 10 の開発舞台裏や、データドリブン開発に興味のある皆様、そして Windows Insider の皆様は是非ご参加ください。,,,,,,,DevOps(チーム開発);#スペシャルセッション;#Windows;#ビッグデータ,CLT-008,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
FinTechだけじゃモッタイ無い！ブロックチェーン とクラウドが作る未来,"FinTech分野で注目されているブロックチェーンという技術が世に登場し、その新しい技術を金融分野をはじめとした、様々な企業が実証実験も始めています。資金決済、証券だけでなく、土地取引、ナショナルプロジェクトなど、幅広い分野での応用が見込まれています。
このセッションでは、そもそもブロックチェーンを支える主要技術と今後の見込まれる技術の展開がどうなるのか?
日本国内で活躍するブロックチェーンベンチャーと共に、進み続けるブロックチェーンの技術と今後の展望や応用などについて熱く語り合います。",7.DevOps & OSS,300,開発者;#アーキテクト,増渕 大輔,damasu,マスブチ ダイスケ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"日本マイクロソフト株式会社
クラウド&ソリューションビジネス統括本部
クラウドソリューションアーキテクト
廣瀬　一海
",Internal Only,ブロックチェーン に興味のある全てのエンジニアの方向けです。,,,,,,,クラウド開発;#Microsoft Azure,DOO-012,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
"サイバーセキュリティ、IT Pro, 開発、経営　それぞれの視点",日本においても、2011年頃から深刻なサイバーセキュリティ被害が目立つようになりました。現在の攻撃側が有利な状況に対応していくためには、IT部門ばかりではなく、製品開発や経営的な分野でも深くかかわる必要があります。当セッションでは、現在の脅威を俯瞰し、脅威に対応し、ITをビジネスに活用するための、開発、IT、経営の課題と必要とされる対応について提案します。,6.Architecture,200,開発者;#ITプロ;#アーキテクト,高橋　正和,masataka,タカハシ　マサカズ,日本マイクロソフト株式会社,,チーフセキュリティアドバイザー,日本語,,Internal Only,,Enterprise Security,https://www.microsoft.com/ja-jp/business/enterprise-security/default.aspx,Windows 10 Securityの参考訳（Protection against modern security threats）,https://blogs.technet.microsoft.com/jpsecurity/2016/03/28/%e5%8f%82%e8%80%83%e8%a8%b3-windows-10-%e3%82%bb%e3%82%ad%e3%83%a5%e3%83%aa%e3%83%86%e3%82%a3/,サイバーセキュリティ対策ラウンドテーブル ～セキュリティのプロフェッショナルが語る!～ ,https://www.youtube.com/watch?v=hbQOkc4C5xo,情報セキュリティ;#事業継続;#クラウド,ARC-006,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
Azure / Windows Server 2016 から学ぶWindows 系インフラエンジニアのためのDevOps,"Windows Server 2016 や Azure Stack の新機能の説明には DevOps というキーワードがたくさん出てきます。また、最近のマイクロソフトは OSS との連携をより強力にしていることに気付いているかもしれません。ただ、これまで Windows Server を担当していたエンジニアの方々には遠い存在だったのも事実。
そこで本セッションでは、Windows Server 2016 や Azure の新機能を絡めながら、DevOpsとは何か、マイクロソフトが注目した OSS の魅力とは何かを改めてご紹介していきます。",7.DevOps & OSS,300,ITプロ;#アーキテクト,高添 修,osamut,高添 修,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"日本マイクロソフト株式会社
デベロッパー エバンジェリズム統括本部
オーディエンスエバンジェリズムマネージャー

小塚 大介",Internal Only,これまで Microsoft 製品を扱ってきたエンジニアの皆様で Windows Server 2016 の新しい機能や Azure Stack に興味を持ってくださる方はぜひご参加ください。,,,,,,,DevOps(チーム開発);#OSS;#Microsoft Azure;#Windows Server,DOO-015,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
.NET言語（C#）と .NET コンパライプラットフォーム（Roslyn）最新情報,このセッションでは、.NET 系プログラミング言語の最新情報をお伝えしていきます。特に C# の最新バージョン C#7 の新機能（タプル、パターンマッチングなど）や、.NET コンパイラプラットフォーム（Roslyn）について興味のある方は、ご参加ください。,1.Development,300,開発者,渡辺 弘之,hiwatan,ワタナベ ヒロユキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,,Internal Only,,,,,,,,Web開発;#UWP開発;#クラウド開発;#開発言語;#クロスプラットフォーム;#Visual Stuido;#.NET,DEV-012,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
りんなを徹底解剖。”Rinna Conversation Services” を支える自然言語処理アルゴリズム,「女子高生 AI りんな」を元にチューニングされた bot サービス ”Rinna Conversation Services (RCS)” を使うと、自分の Twitter アカウントで ”rinna” がしゃべり出します。本セッションでは、RCS の根幹である RNN（再帰型ニューラル ネットワーク）による自然言語処理アルゴリズムや、Azure 上のアーキテクチャを解説し、りんなの仕組みを徹底解剖します。参加者には、一足先に RCS を利用するための「呪文」を提供します。,2.Data Platform,300,開発者;#アーキテクト,砂金 信一郎,shisago,イサゴ シンイチロウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,部長 エバンジェリスト,日本語,"坪井 一菜
ktsuboi
ツボイ カズナ
マイクロソフト ディベロップメント株式会社
STC Japan
プログラム マネージャー

Wu Xianchao
xiancwu
ウーシャンチャオ
マイクロソフト ディベロップメント株式会社
STC Japan
ソフトウェアディベロップメントエンジニアⅡ",Internal Only,bot 開発を検討されている方、自然言語処理に興味のある方、AI との対話で未来を感じたい方、是非ご参加ください。,,,,,,,クラウド開発;#Microsoft Azure;#Bing;#クラウド;#ビッグデータ,DBP-019,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Azure SQL Database: Current and Futures,"Azure SQL Database is on a roll with a blockbuster set of new features. Attend this session to understand the big changes and investments with Azure SQL Database -- elastic database pools, elastic database jobs, enhanced disaster recovery, transparent data encryption, expanded T-SQL surface area to name a few. Learn more about where we are today and what will be coming in the future.
This is NDA session (NDAへの署名が必要です)",9.Chalk Talk,400,開発者;#ITプロ,Lara Rubbelke,larar,,Microsoft Corporation,Developer Experience and Evangelism,Principle Software Development Engineer Lead,英語,,Internal Only,Microsoft MVP もしくは NDAに署名いただける方,,,,,,,Microsoft Azure;#SQL Server;#ビッグデータ,CHK-010,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Azure IoT ソリューションアーキテクチャ,本セッションでは、IoT Hub、Stream AnalyticsなどのAzure IoT 関連サービスを利用したAzure IoT ソリューションのアーキテクチャについて、その実現性も踏まえてデモを交えながら解説します。,6.Architecture,300,開発者;#アーキテクト,中田 光昭,mnakat,ナカタ ミツアキ,日本マイクロソフト株式会社,Global Black Belt,IoT テクノロジーソリューションプロフェッショナル,日本語,,Internal Only,,Azure IoT デベロッパー センター,https://azure.microsoft.com/ja-jp/develop/iot/,Azure IoT Hub,https://azure.microsoft.com/ja-jp/documentation/services/iot-hub/,,,IoT & デバイス,ARC-008,2. 第二弾,Item,teams/decode2016spk/Lists/BSInfo
一挙紹介 ! Office 365 でおさえておくべき最新機能,本セッションでは、Office 365 の新機能やアップデート情報をまとめてご紹介します。Office 365 で最近どのような変化が起きているのか、何ができるようになったのか概要を把握したい方、Office 365 の現在の姿を確認したい方、そして少し未来の Office 365 の姿を覗いてみたい方に向けたセッションです。,5.Productivity,200,ITプロ;#アーキテクト,秋本 尚吾,shogoa,アキモトショウゴ,日本マイクロソフト株式会社,クラウド＆ソリューションビジネス統括本部,プリンシパルテクノロジースペシャリスト,日本語,,Internal Only,Office 365 に携わるすべての皆様。特に、Office 365 の提案、展開、そして運用を行う方はぜひご参加ください。,,,,,,,Office 365;#クラウド;#運用,PRD-010,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Using Azure Data Services for Modern Data Applications,Learn how to build next generation data applications using the scale of Azure Data Services. This session will walk through the common stages in modern design patterns and drill into the strengths of each service common application patterns for integration of large scale data analysis in the cloud using these services.  Through these common design patterns and code samples you will better understand how modern applications are applying Azure services to process and serve data.,2.Data Platform,300,開発者;#ITプロ;#アーキテクト,Lara Rubbelke,larar,Lara Rubbelke,Microsoft Corporation,Developer Experience and Evangelism,Principal Software Development Engineer Manager,英語,,Internal Only,クラウドにおける大規模データ分析に興味のある技術者の皆様、ぜひご参加ください。,Azure SQL Data Warehouse,https://azure.microsoft.com/ja-jp/services/sql-data-warehouse/,Azure Data Lake Store,https://azure.microsoft.com/ja-jp/services/data-lake-store/,Azure Data Lake Analytics,https://azure.microsoft.com/ja-jp/services/data-lake-analytics/,クラウド開発;#Microsoft Azure;#SQL Server;#クラウド;#ビッグデータ,DBP-010,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Docker 最新動向と Azure Container Service 入門,"昨今の IT で注目されているコンテナ技術ですが、その中でも Docker は多くのエンジニアから注目され、Windows Server 2016 でも対応が表明されています。
本セッションでは、Docker の基本から最新動向、Azure Container Serviceによるサービス環境への展開についてご紹介いたします。",7.DevOps & OSS,300,開発者;#ITプロ;#アーキテクト,久森 達郎,tahisamo,ヒサモリ タツロウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"クリエーションライン株式会社
前佛 雅人 氏",External,Container 技術、Docker に興味のあるすべての方,,,,,,,クラウド開発;#DevOps(チーム開発);#OSS;#Microsoft Azure;#クラウド,DOO-013,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
RDB 技術者のための NoSQL ガイド,"「今」の NoSQL のこと、わかっていますか? まだ、こんな勘違いをしたり、不正確な情報・古いイメージで見ていたりしませんか?

・バッチが高速になる
・トランザクションが高速になる
・ビッグデータを分析できる
・非構造データが効率的に扱える
・RDB から置き換えると速くなる
・オープンソースしかない
・スキーマがない
・SQL が使えない

本セッションは、書籍「RDB 技術者のための NoSQL ガイド」の著者陣が、RDB エンジニアを対象に、エンタープライズ環境で NoSQL をどのように活用すべきかを説明します。NoSQLの全体像、MongoDB、Cassandra、Azure DocumentDBなどを取り上げます。

Azure DocumentDB については、セッション DBP-016 にもご参加ください。",6.Architecture,300,開発者;#アーキテクト,佐藤 直生,nasat,サトウ ナオキ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,"渡部 徹太郎
ワタナベ テツタロウ
株式会社リクルートテクノロジーズ
ビッグデータ部
テクニカルエンジニア
(external speaker) Tetsutaro Watanabe.jpg

原沢 滋
ハラサワ シゲル
DataStax Inc,.
Business Development
(external speaker) Shigeru Harasawa.png",External,NoSQL に興味ある RDB 技術者の皆様、ぜひご参加ください。,書籍「RDB技術者のためのNoSQLガイド」,http://www.shuwasystem.co.jp/products/7980html/4573.html,Azure DocumentDB,https://azure.microsoft.com/ja-jp/services/documentdb/,DataStax,http://www.datastax.com/partners/microsoft-azure,クラウド開発;#OSS;#Microsoft Azure;#クラウド;#ビッグデータ,ARC-009,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Bot Framework & Cognitive Services ～自動応答ソリューション開発に挑戦～,"既存のシステムやアプリケーションに Bot 機能を追加したり、新しい自動応答ソリューションとして構築するなど、今後、話型インタフェースを使った自動応答サービスはますますニーズが増えてきます。
このセッションでは、//Build 2016 で発表された Microsoft Bot Framework と Microsoft Cognitive Services（旧 Project Oxford）をテーマにその仕組みや実装方法、開発手法を紹介します。
かなり開発者向けの内容となりますが、判りやすいデモンストレーションも多数ご用意し、どなたでもお楽しみ頂けるよう配慮いたします。",1.Development,300,開発者,ジニアス平井（平井 昌人）,masath,じにあすひらい,日本マイクロソフト株式会社,マイクロソフトテクノロジーセンター,テクニカルアーキテクト,日本語,,Internal Only,Bot Framework や Cognitive Services に関心をお持ちの方や自動応答ソリューションの開発にご興味があるデベロッパーの皆様。,,,,,,,クラウド開発;#クラウド,DEV-020,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
The Future of Visual Studio,Come to hear the future of Visual Studio. This session will illustrate how Visual Studio is evolving demo by demo. We’ll show you the latest capabilities to enable any developer to build any apps. We’ll provide a preview of the streamlined acquisition experience for the next release of Visual Studio. You will see the cutting edge features we are working on to bring your productivity to the next level. We’ll even provide a back stage peek into how we’re using your feedback to continuously improve Visual Studio.,1.Development,200,開発者,Drew Robbins,drobbins,,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,,英語,,Internal Only,,,,,,,,Visual Stuido,DEV-006,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
ここを使うだけで大幅に業務効率改善！Visual Studio 2015 Update 2 の最新便利機能をピックアップ,"アジャイル開発や DevOps など、さらなる迅速性が求められている開発現場において”同じコードを何度も書く”、”ユニットテストを新規に作成する”、”原因不明のバグを調査する”など、日々の作業は手間のかかることが多くあります。
このセッションでは、知っていれば得する Visual Studio 2015 Update 2 の最新機能をそれぞれのデモによって詳細に紹介します。",1.Development,300,開発者;#アーキテクト,藤原 祐之,mafujiw,フジワラ マサシ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクノロジースペシャリスト,日本語,,Internal Only,,,,,,,,Visual Stuido,DEV-004,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
いざ無制限のデータの彼方へ! ～ Azure Data Lake 開発の知識とベストプラクティス ～,"データを蓄積・解析するエンジンとして、フラットファイルを扱う時代から、データベースへと進化しました。RDBMS が導入した ""れています。
このセッションでは、Microsoft 自身が Big Data を扱うために開発した Cosmos をベースにして開発された Azure Data Lake と、クエリ言語 U-SQL についてそのアーキテクチャ、開発手法及びベスト プラクティスをご紹介します。eence for the next release of Visual Studio. You will s",2.Data Platform,300,開発者;#アーキテクト,畠山 大有,dahatake,ハタケヤマ　ダイユウ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,エバンジェリスト,日本語,,Internal Only,,Azure Data Lake Store,https://azure.microsoft.com/ja-jp/documentation/services/data-lake-store/,Azure Data Lake Analytics,https://azure.microsoft.com/ja-jp/documentation/services/data-lake-analytics/,,,Microsoft Azure;#Visual Stuido;#ビッグデータ,DBP-020,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
これから始める Xamarin ? 環境構築から iOS/Android/UWP アプリのビルドまで ?,C# だけでモバイルアプリを開発できる、クロスプラットフォーム開発ツール「Xamarin (ザマリン)」の入門セッションです。iOS/Android/UWP アプリをすべて C# で書ける上に、コードも（一部の UI 部分以外）共通化することができ、開発においての大きなコスト削減が可能となります。IDE として Visual Studio を使用でき、UI を共通化するライブラリ Xamarin.Forms の開発手法を用いることで、Visual Studio 開発者になじみの深い XAML で UI を記述することも可能です。モバイル開発に興味のある開発者の方は、2016 年 4 月からの無償化で大きな話題を集めている Xamarin を、ぜひご覧ください。,1.Development,200,開発者,千代田 まどか,machiy,チヨダ マドカ,日本マイクロソフト株式会社,デベロッパー エバンジェリズム統括本部,テクニカル エバンジェリスト,日本語,"田淵 義人 (エクセルソフト株式会社)
砂金 信一郎
高橋 忍
",External,モバイル開発に興味のある開発者の方,,,,,,,UWP開発;#開発言語;#クロスプラットフォーム;#Visual Stuido;#.NET,DEV-022,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
Building Cloud Connected Xamarin Apps,"Xamarin and Microsoft empower .NET developers to develop native Android, iOS, and Windows apps without learning a new language or IDE.  Azure App Service Mobile Apps is a cloud app service that integrates everything you need on the server side to empower your mobile apps.  In this session, we’ll go over how Xamarin works and how you can reuse your existing .NET skills to build out client apps for all platforms as well as your app backend running on Azure.  We’ll cover the basics of sharing code, discuss how and when to go platform specific, walk through integrating the Mobile Apps SDK into your apps and start making use of it’s features, and more.  You’ll leave this session with the know how to get started with Xamarin and Azure to build your mobile apps today!",1.Development,300,開発者,Chris Risner,chrisner,,Microsoft Corporation,TED Services & Devices,Sr. SDE Manager,英語,,Internal Only,,,,,,,,クラウド開発;#開発言語;#クロスプラットフォーム;#Microsoft Azure;#Visual Stuido;#.NET,DEV-007,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
そのエラーや お困りごと、ツールを使えば解決できるかも！～Sysinternals や OS 標準ツールの徹底活用術 ～,"日々の運用やトラブルの時に「いきなり Web 検索」に頼りきっていませんか？情報が見つかればよいですが、そうでもないと検索にばかり時間がとられてしまうことも。。。
そんな時に目を向けていただきたいのが、Sysinternals や OS 標準のツールです。「サーバーの負荷が高いけど、何をどう見たらよいの？」「OS の動きが怪しいけど、何が原因？」「Stop Error が表示されたけど、どうすればよいの？」等々、ツールを使いこなせば、様々な視点からシステムが見えてくることがあります。本セッションでは、デモを交えながら、様々なツールの使い方をご紹介いたします。",3.Infrastructure,300,ITプロ,三浦 俊平太,shunpem,ミウラ　シュンペイタ,日本マイクロソフト株式会社,クラウドプラットフォーム技術部,テクノロジーソリューションプロフェッショナル,日本語,"日本マイクロソフト株式会社
クラウドプラットフォーム技術部
テクノロジーソリューションプロフェッショナル
前島 鷹賢",Internal Only,ITの運用やアプリケーションのトラブルシューティングなどを行う必要があるエンジニアの方は、是非ご参加ください。,,,,,,,Windows;#Windows Server;#運用,INF-028,3. 第三弾,Item,teams/decode2016spk/Lists/BSInfo
